tournament_code,tournament_name,tier,start_date,end_date,patch_code,url,last_updated,csv_name
43,MPL Malaysia Season 7,A,20210312,20210530,,https://liquipedia.net/mobilelegends/MPL/Malaysia/Season_7,20231230,43_MPL Malaysia Season 7.csv
44,MPL Philippines Season 7,A,20210319,20210530,1.5.62 – 1.5.78,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_7,20231230,44_MPL Philippines Season 7.csv
45,MPL Singapore Season 1,A,20210403,20210509,1.5.62 – 1.5.70,https://liquipedia.net/mobilelegends/MPL/Singapore/Season_1,20231230,45_MPL Singapore Season 1.csv
46,MPL Indonesia Season 7,A,20210226,20210502,1.5.52 – 1.5.62,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_7,20231230,46_MPL Indonesia Season 7.csv
47,ONE Esports MPL Invitational 2020,A,20201127,20201206,1.5.32,https://liquipedia.net/mobilelegends/ONE_Esports_MPL_Invitational/2020,20231230,47_ONE Esports MPL Invitational 2020.csv
48,MPL Myanmar Season 5,A,20200926,20201101,1.5.16 – 1.5.24,https://liquipedia.net/mobilelegends/MPL/Myanmar/Season_5,20231230,48_MPL Myanmar Season 5.csv
49,MPL MY/SG Season 6,A,20200828,20201025,,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_6,20231230,49_MPL MY_SG Season 6.csv
50,MPL Philippines Season 6,A,20200821,20201025,1.4.94B – 1.5.16B,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_6,20231230,50_MPL Philippines Season 6.csv
51,MPL Indonesia Season 6,A,20200814,20201018,,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_6,20231230,51_MPL Indonesia Season 6.csv
52,MPL Invitational 4 Nation Cup,A,20200619,20200705,1.4.86,https://liquipedia.net/mobilelegends/MPLI_4_Nation_Cup,20231230,52_MPL Invitational 4 Nation Cup.csv
53,MPL Myanmar Season 4,A,20200516,20200621,1.4.76 – 1.4.86,https://liquipedia.net/mobilelegends/MPL/Myanmar/Season_4,20231230,53_MPL Myanmar Season 4.csv
54,MPL Philippines Season 5,A,20200228,20200531,1.4.50 – 1.4.76,https://liquipedia.net/mobilelegends/MPL/Philippines/Season_5,20231230,54_MPL Philippines Season 5.csv
55,MPL MY/SG Season 5,A,20200229,20200503,1.4.50 – 1.4.76,https://liquipedia.net/mobilelegends/MPL/MYSG/Season_5,20231230,55_MPL MY_SG Season 5.csv
56,MPL Indonesia Season 5,A,20200207,20200412,1.4.44 – 1.4.60,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5,20231230,56_MPL Indonesia Season 5.csv
57,30th Southeast Asian Games,A,20191205,20191208,,https://liquipedia.net/mobilelegends/Southeast_Asian_Games/2019,20231230,57_30th Southeast Asian Games.csv
